-----,esp,tab,\n,L,A..F,x,0,N,[,s,],#,<,>,!,",",:,"""+""",-,*,/,(,),.,"""=""",c,;,_,@
0,AS1,AS1,AS1,AS2,AS2,AS2,AS2,AS2,AS2,AS2,ASE,AS2,AS2,AS2,AS2,AS10_F,AS2,AS10_F,AS10_F,AS10_F,AS10_F,AS10_F,AS10_F,AS10_F,AS10_F,ASE,AS10_F,ASE,ASE
1,AS6_F,AS6_F,AS6_F,ASE,ASE,AS2,AS2,AS2,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,AS2,ASE,ASE,ASE,ASE,ASE
2,ASE,ASE,ASE,ASE,AS2,ASE,AS2,AS2,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE
3,AS4_F,AS4_F,AS4_F,AS4_F,AS2,AS4_F,AS2,AS2,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F,AS4_F
4,AS3_F,AS3_F,AS3_F,AS2,AS2,AS2,AS2,AS2,AS3_F,AS2,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS3_F,AS2,AS3_F
5,AS6_F,AS6_F,AS6_F,ASE,ASE,ASE,AS2,AS2,AS6_F,ASE,AS6_F,AS6_F,AS6_F,AS6_F,AS6_F,AS6_F,AS6_F,AS6_F,AS6_F,AS6_F,AS6_F,AS6_F,AS6_F,AS2,AS6_F,AS6_F,AS6_F,AS6_F,AS6_F
6,ASE,ASE,ASE,ASE,ASE,ASE,AS2,AS2,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE
7,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS2,AS2,AS5_F,AS2,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F
8,ASE,ASE,ASE,ASE,ASE,ASE,AS2,AS2,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,AS2,AS2,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE
9,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS2,AS2,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F,AS5_F
10,ASE,ASE,ASE,ASE,ASE,ASE,AS2,AS2,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE
11,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE
12,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,ASE,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2
13,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,AS2,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE
14,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS7_F,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2
15,AS2,AS2,AS8_F,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2
16,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F,AS9_F
17,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,AS9_F,ASE,ASE,ASE,ASE
