,,,,,,,,,,,,
,,L,d,[,],#,x,.,s,+',-,A F
,q0,1,1,1,1,1,1,1,1,1,1,1
,q1,1,1,1,1,1,1,1,1,1,1,1
,q2,1,1,1,1,1,1,1,1,1,1,1
,q3,1,1,1,1,1,1,1,1,1,1,1
,q4,1,1,1,1,1,1,1,1,1,1,1
,q5,1,1,1,1,1,1,1,1,1,1,1
,q6,1,1,1,1,1,1,1,1,1,1,1
,q7,1,1,1,1,1,1,1,1,1,1,1
,q8,1,1,1,1,1,1,1,1,1,1,1
,q9,1,1,1,1,1,1,1,1,1,1,1
,q10,1,1,1,1,1,1,1,1,1,1,1
,q11,1,1,1,1,1,1,1,1,1,1,1
,q12,1,1,1,1,1,1,1,1,1,1,1
,q13,1,1,1,1,1,1,1,1,1,1,1
,q14,1,1,1,1,1,1,1,1,1,1,1
,q15,1,1,1,1,1,1,1,1,1,1,1
,q16,1,1,1,1,1,1,1,1,1,1,1
,q17,1,1,1,1,1,1,1,1,1,1,1
